Question,Option_A,Option_B,Option_C,Option_D,Correct_Option
What gas do plants absorb from the atmosphere? (Set 3),Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B
Which part of the plant conducts photosynthesis? (Set 3),Root,Stem,Leaf,Flower,C
What is H2O commonly known as? (Set 3),Salt,Water,Hydrogen Peroxide,Oxygen,B
Which organ purifies blood in the human body? (Set 3),Lungs,Liver,Heart,Kidney,D
Which instrument is used to measure temperature? (Set 3),Barometer,Thermometer,Hygrometer,Altimeter,B
Which planet is closest to the Sun? (Set 3),Earth,Mercury,Venus,Mars,B
Which vitamin is produced in the human body when exposed to sunlight? (Set 3),Vitamin A,Vitamin B,Vitamin C,Vitamin D,D
What is the center of an atom called? (Set 3),Electron,Nucleus,Proton,Neutron,B
Which is the fastest land animal? (Set 3),Cheetah,Lion,Horse,Tiger,A
Which device is used to convert sound waves into electrical signals? (Set 3),Speaker,Microphone,Amplifier,Monitor,B
What is 25 × 4? (Set 3),50,75,100,125,C
"If a triangle has angles 90°, 45°, the third angle is? (Set 3)",45°,60°,30°,90°,A
What is the square root of 81? (Set 3),7,8,9,10,C
What is 15% of 200? (Set 3),15,25,30,35,C
Which number is a prime number? (Set 3),21,33,37,49,C
Solve: 12 ÷ 3 × 2 = ? (Set 3),2,4,6,8,C
What is the value of π (pi) approximately? (Set 3),2.14,3.14,4.14,5.14,B
What is the perimeter of a square with side 5 cm? (Set 3),10 cm,15 cm,20 cm,25 cm,C
Which of these numbers is divisible by 3? (Set 3),25,27,28,31,B
"What is the next number in the series: 2, 4, 8, 16, ? (Set 3)",18,20,24,32,D
What is the capital of France? (Set 4),Berlin,Madrid,Paris,Rome,C
Which planet is known as the Red Planet? (Set 4),Earth,Mars,Jupiter,Venus,B
Who wrote the play 'Romeo and Juliet'? (Set 4),Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B
Which ocean is the largest? (Set 4),Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
In which country is the Great Pyramid of Giza located? (Set 4),Mexico,India,Egypt,China,C
Which continent is known as the Dark Continent? (Set 4),Asia,Europe,Africa,Australia,C
Who was the first President of the United States? (Set 4),George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,A
What is the national flower of India? (Set 4),Rose,Lotus,Sunflower,Marigold,B
Which country is known as the Land of the Rising Sun? (Set 4),China,Japan,Thailand,South Korea,B
Which is the largest desert in the world? (Set 4),Sahara,Gobi,Thar,Arabian,A
